developer_id,account_age_days,total_commits,commits_last_90d,total_repos,pull_requests_merged,issues_closed,stars_received,languages_used,language_entropy,primary_language,framework_count,has_readme_pct,has_tests_pct,has_ci_pct,commit_message_avg_len,fork_to_original_ratio,languages_per_repo_avg,commit_trend_slope,activity_decay_lambda,years_active,has_bio,has_company,has_location,bio_length,avg_repo_size_kb,avg_repo_description_len,developer_dna_score,developer_tier
uwalker,1445,1149,65,74,47,36,1,"Go,C++,Python,C,Haskell,TypeScript,Java",2.8074,Go,13,0.78,0.269,0.401,41,0.841,3.3,0.6797,-0.0257,3.96,0,0,0,0,251,40,0.4013,1
martinezdavid,3149,3737,767,800,524,599,30,"Scala,CSS,Go,JavaScript,C#,C,SQL,TypeScript,Java,Elixir",3.3219,Elixir,15,1.0,0.679,0.833,91,0.69,3.04,5.1009,-0.1017,8.62,1,0,1,140,1590,72,0.6076,2
erin28,222,249,20,199,36,57,86,"CSS,Lua,PHP,Rust,C++,Python,Swift",2.8074,Rust,5,0.908,0.013,0.508,38,0.222,1.59,-4.6045,-0.204,0.61,0,0,0,0,106,0,0.2912,0
dev_2482,2631,14,1,32,35,20,39,Kotlin,0.0,Kotlin,4,0.895,0.476,0.079,3,0.315,1.78,2.1929,0.1078,7.2,0,0,0,0,36,44,0.2126,0
dev_6222,3132,1939,365,151,30,21,11,"CSS,Lua,HTML,R,Rust,C++,Dart,C#,Kotlin,TypeScript,Java",3.4594,TypeScript,13,0.432,0.892,0.462,35,0.558,3.15,3.3123,-0.092,8.57,1,1,1,111,502,54,0.4463,1
jessica48,2927,204,42,39,962,330,62,"Lua,C++,Haskell,Shell,Go",2.3219,Lua,13,1.0,0.104,0.396,47,0.49,2.09,5.0412,0.1608,8.01,0,0,1,0,228,86,0.373,1
ellen36,1890,41,1,13,4,5,63,"HTML,R,Ruby,Python,Haskell,TypeScript,Elixir",2.8074,Ruby,2,0.818,0.449,0.418,54,0.556,1.36,3.4365,-0.0209,5.17,1,1,0,20,1259,64,0.3698,1
david50,1645,312,55,2,177,137,99,"Ruby,PHP",1.0,PHP,9,0.804,0.498,0.358,77,0.679,1.01,1.8073,0.1174,4.5,0,0,0,0,780,35,0.2563,1
mary35,1414,331,59,14,26,28,39,"CSS,Lua,Haskell,C++,Julia,Dart,SQL,Shell",3.0,Dart,15,0.929,0.548,0.536,38,0.508,2.4,3.4334,-0.027,3.87,1,0,0,26,244,118,0.4591,1
dev_3185,1464,2285,5,24,44,19,251,"Lua,HTML,PHP,SQL,Go",2.3219,Lua,8,0.624,0.377,0.591,50,1.0,3.62,-0.8337,0.114,4.01,1,0,1,115,53,43,0.3957,1
dev_5627,3899,279,38,24,167,199,489,"Scala,Lua,PHP,C++,Rust,Julia,Dart,Kotlin,Elixir,SQL,Go,Swift",3.585,C++,13,0.891,0.449,0.504,69,0.546,3.51,1.0444,-0.054,10.67,1,1,0,73,376,26,0.4182,2
dev_1280,1090,23,2,3,1,0,825,"Kotlin,Haskell,Shell,Go,Swift",2.3219,Haskell,0,0.671,0.0,0.55,11,0.424,3.14,-0.9363,0.2698,2.98,0,0,0,0,27,74,0.2275,0
marc26,2534,410,92,6,27,27,678,"Scala,Python,Kotlin,SQL,TypeScript",2.3219,Kotlin,7,0.841,0.394,0.609,86,0.524,3.14,3.5337,0.1071,6.94,1,0,0,80,756,46,0.3359,1
samanthawong,30,450,74,28,18,24,47,"Scala,HTML,Haskell,Elixir",2.0,Scala,3,0.467,0.538,0.268,50,0.01,1.88,0.3749,-0.0423,0.1,1,0,1,41,85,54,0.1555,0
longkimberly,159,29,3,17,15,4,74,"C++,Ruby,Julia,Dart,C,SQL,TypeScript,Elixir",3.0,TypeScript,2,0.895,0.371,0.105,34,0.126,2.2,0.2681,0.0355,0.44,0,0,1,0,155,0,0.317,1
elizabethdavis,1909,28,6,63,1,0,2,"Scala,Lua,Rust,Ruby,Haskell,Go",2.585,Lua,2,0.659,0.0,0.042,11,0.655,2.09,-6.5594,0.0735,5.23,0,0,0,0,110,34,0.2197,0
natalie29,3122,974,74,29,159,173,1407,"Scala,PHP,Dart,C#,C,Python,SQL,TypeScript,Go",3.1699,PHP,12,0.466,0.672,0.435,44,0.415,3.73,3.2622,-0.1021,8.55,1,0,0,41,209,149,0.3885,2
whitejustin,1710,1843,297,4,5,3,7,"Go,Lua,C",1.585,Lua,5,0.0,0.072,0.66,58,1.0,2.62,6.0033,-0.0059,4.68,1,1,0,108,22,64,0.2826,1
christopher3,925,21,4,7,3,4,33,TypeScript,0.0,TypeScript,0,0.168,0.0,0.156,21,0.342,0.7,-0.532,0.2699,2.53,0,0,1,0,44,1,0.0866,0
dev_1367,136,27,0,25,24,33,4,"CSS,HTML,R,Rust,Dart,C#,Python,SQL,Swift",3.1699,Rust,7,0.336,0.318,0.0,24,0.334,1.43,2.9174,0.1083,0.37,0,0,0,0,8,59,0.271,0
daniel4,2649,389,27,54,235,144,99,"PHP,Dart,C#,C,Kotlin,Elixir",2.585,Dart,10,0.445,0.283,0.447,27,0.94,3.88,1.4541,-0.1394,7.25,1,1,0,107,1764,35,0.4046,1
fallen,2849,2019,295,32,652,930,134,"Swift,R,HTML,C#,Python,Kotlin,SQL,TypeScript,Go,Elixir",3.3219,SQL,15,0.52,0.766,0.485,95,0.713,3.93,2.1005,-0.1984,7.8,1,1,1,121,647,98,0.4944,2
stephanie64,1051,6,0,2,3,1,6,Rust,0.0,Rust,0,0.182,0.091,0.0,30,0.16,0.58,-0.2352,0.0577,2.88,0,0,0,0,69,49,0.0824,0
wilsonnathan,3123,407,44,42,280,354,243,"CSS,Rust,JavaScript,Dart,Kotlin,C,Haskell,TypeScript,Go,Swift",3.3219,Kotlin,10,0.768,0.577,0.508,67,0.702,2.08,5.118,-0.0151,8.55,1,1,1,121,1579,62,0.4657,2
dev_2982,2160,23,7,12,2,4,34,"Ruby,C",1.0,Ruby,4,0.135,0.322,0.312,41,0.225,0.5,-2.9003,0.1286,5.91,0,0,1,0,58,20,0.1277,0
dev_1362,183,323,22,13,3,2,102,Shell,0.0,Shell,4,0.202,0.486,0.132,36,0.274,2.93,-4.8528,0.1295,0.5,0,0,1,0,129,43,0.1596,0
anthonyellis,30,120,20,11,3,0,21,"C++,Ruby,C#,SQL,Shell,Java",2.585,Java,4,0.124,0.366,0.107,37,0.291,1.8,-1.8771,0.0777,0.1,0,0,1,0,95,40,0.2308,0
collierchristine,501,91,20,3,1,1,1,C,0.0,C,0,0.0,0.323,0.0,21,0.476,1.01,-3.4535,0.191,1.37,0,0,1,0,5,0,0.1047,1
janetestrada,1046,129,0,43,9,7,59,"C++,Haskell,Shell,Go,Swift",2.3219,Shell,4,0.128,0.568,0.224,59,0.405,1.35,4.0898,0.1545,2.86,0,0,1,0,125,11,0.2401,0
andrea87,30,9,0,8,1,0,311,Lua,0.0,Lua,4,0.132,0.0,0.0,31,0.277,1.09,-0.6372,0.1404,0.1,0,1,0,0,110,0,0.0397,0
dev_6121,4562,1127,2,39,88,104,885,"CSS,Swift,HTML,R,Rust,Dart,Kotlin,SQL,Elixir",3.1699,CSS,15,0.693,0.754,0.975,60,0.353,2.9,1.9306,-0.0823,12.49,1,1,1,19,1141,42,0.4475,2
mark51,3835,23475,2368,44,2979,4000,4134,"Scala,Swift,R,PHP,Rust,C++,Julia,Kotlin,Python,Haskell,Java,Elixir",3.585,Java,16,0.627,0.557,0.845,74,0.719,1.53,3.9003,-0.2248,10.5,1,1,1,45,902,162,0.6725,2
lisa27,904,173,48,6,41,17,111,Python,0.0,Python,5,0.65,0.35,0.484,68,0.416,3.86,1.5476,0.16,2.48,0,0,1,0,420,82,0.2256,1
kelsey84,1400,1933,123,18,10,7,11,"Go,Scala,JavaScript,C++",2.0,Scala,4,0.157,0.0,0.138,31,0.321,1.04,1.4192,0.1394,3.83,0,0,1,0,194,29,0.1343,0
dev_2818,4686,2680,2,28,227,179,752,"SQL,CSS,HTML,PHP,Kotlin,Haskell,TypeScript,JavaScript",3.0,TypeScript,13,0.493,0.758,0.564,56,0.959,3.22,7.1594,-0.0888,12.83,0,0,1,0,7186,86,0.4845,2
jesse4,30,75,11,19,0,0,3,Java,0.0,Java,5,0.02,0.285,0.263,31,0.01,1.44,-2.2802,0.2883,0.1,1,0,0,65,30,0,0.0547,0
dev_9694,1045,82,19,30,5,4,57,PHP,0.0,PHP,3,0.436,0.069,0.326,33,0.352,1.47,1.4792,0.192,2.86,0,0,0,0,136,0,0.0863,1
craig43,752,627,174,16,13,3,65,"Scala,CSS,HTML,R,Dart,JavaScript",2.585,R,3,0.221,0.881,0.271,22,0.613,1.91,-2.4558,0.1114,2.06,0,0,0,0,239,31,0.304,1
morrisxavier,1462,2511,111,67,16,11,534,"R,C++,Rust,C#,TypeScript,Elixir",2.585,R,12,0.415,0.356,0.354,64,0.422,1.33,6.5657,-0.0624,4.0,0,1,1,0,3780,41,0.3382,0
nanderson,1012,245,44,244,7,1,341,"Lua,R,C++,Ruby,Julia,C#,SQL,Go",3.0,C#,7,0.218,0.729,0.316,30,0.74,2.07,-2.2664,0.0521,2.77,1,1,0,133,60,28,0.3059,1
heather81,3439,1288,327,3,207,59,1306,"HTML,Julia,Dart,C,Kotlin,TypeScript,Shell,Java,Swift",3.1699,C,10,0.88,0.485,0.469,71,0.597,1.96,4.5647,-0.1954,9.42,0,1,0,0,1586,91,0.4334,1
joseph62,1758,390,35,6,2,1,22,"CSS,Lua,HTML,C++,Julia,Dart",2.585,HTML,9,0.593,0.55,0.466,35,0.296,2.4,2.1404,0.113,4.81,0,0,0,0,171,21,0.3643,1
jason14,3229,328,69,23,1,0,68,"Ruby,HTML,Shell",1.585,HTML,2,0.796,0.785,0.493,14,0.842,0.83,-0.0068,0.0751,8.84,0,0,1,0,73,11,0.3289,1
lindsey85,3177,237,40,156,177,220,212,"CSS,R,HTML,C++,Julia,Java,Dart,C#,Go,Swift",3.3219,CSS,10,0.689,0.598,0.815,76,0.386,3.49,7.5716,-0.0656,8.7,0,1,1,0,265,56,0.4964,2
chris16,1635,20,1,50,2,1,33,"PHP,JavaScript",1.0,PHP,3,0.0,0.159,0.0,3,0.48,1.17,1.2374,0.1362,4.48,0,0,1,0,5,26,0.0666,1
michelle30,277,3,0,21,0,0,4,Shell,0.0,Shell,0,0.336,0.0,0.0,18,0.508,1.4,-8.0,0.0962,0.76,0,0,0,0,14,0,0.0575,0
kelsey64,1441,1156,216,38,33,44,257,"Haskell,Lua,PHP,C",2.0,Lua,10,0.742,0.548,0.876,79,0.677,2.65,5.4706,-0.028,3.95,1,0,1,12,88,67,0.406,1
loriwright,1230,1198,160,74,43,43,31,"C++,Dart,Python,C,Haskell,Shell,JavaScript",2.8074,Dart,7,0.805,0.559,0.474,66,0.703,2.48,0.0598,-0.1088,3.37,1,1,0,101,205,48,0.3809,2
edward63,2781,140,17,2,134,162,62,"Ruby,Java,Swift",1.585,Ruby,3,0.588,0.427,0.424,20,0.242,2.03,3.3163,0.0755,7.61,1,0,0,59,119,58,0.2896,1
richard78,581,18,1,8,6,5,29,SQL,0.0,SQL,0,0.449,0.03,0.0,3,0.077,1.03,-0.4244,0.1669,1.59,0,0,1,0,91,87,0.0523,0
dev_6671,2121,3793,288,353,259,147,23199,"CSS,Scala,HTML,PHP,Rust,R,JavaScript,C#,C,Java,Elixir",3.4594,C,12,0.891,0.645,0.747,51,0.861,1.95,0.8221,0.0591,5.81,1,0,0,140,358,131,0.4323,2
nmartin,640,84,22,9,130,10,22,"PHP,Rust,Dart,C#,Go,Swift",2.585,Go,2,0.557,0.2,0.359,31,0.01,2.81,7.4785,0.0593,1.75,0,0,1,0,1154,33,0.2825,1
dev_7990,987,49,5,14,1,0,2,R,0.0,R,4,0.329,0.0,0.182,11,0.181,2.28,2.0093,0.1323,2.7,1,0,1,91,92,1,0.1449,0
melissa84,2981,1154,128,26,13,7,286,"Dart,Java,Elixir",1.585,Java,6,0.86,0.398,0.478,65,0.75,2.07,2.007,0.0879,8.16,0,0,0,0,299,62,0.3488,1
jason91,1118,86,0,12,60,27,26,"Scala,JavaScript,C,Kotlin,TypeScript,Go",2.585,C,9,0.385,0.0,0.0,38,0.124,1.29,0.9206,-0.1465,3.06,1,0,1,137,20,14,0.1932,1
brandi09,3179,637,141,25,23,0,8107,"Scala,Lua,R,PHP,C++,Dart,C,Python,SQL",3.1699,R,3,0.7,0.323,0.66,65,0.741,3.15,3.7707,-0.2357,8.7,0,1,1,0,13746,72,0.4282,2
samantha44,756,19,4,30,1,0,170,"Lua,Rust,C#,C,Shell",2.3219,Lua,6,0.582,0.151,0.702,30,0.01,1.49,-1.3008,0.1753,2.07,0,0,0,0,155,2,0.2218,0
dev_9774,30,26,3,46,1,0,67,"CSS,Shell,C#,C++",2.0,Shell,0,0.042,0.179,0.196,15,0.3,0.55,-8.0,0.3552,0.1,0,0,0,0,25,43,0.1385,0
dev_1128,1548,318,26,5,343,192,554,"Scala,Lua,R,CSS,Ruby,C#,SQL,JavaScript",3.0,Lua,6,0.81,0.251,0.333,34,0.494,2.69,3.913,-0.123,4.24,0,0,1,0,554,9,0.3968,1
dev_734,30,55,2,18,7,1,7,"Scala,Shell,Haskell",1.585,Scala,2,0.363,0.174,0.352,46,0.096,1.65,-2.3918,-0.0135,0.1,0,0,0,0,56,48,0.1917,1
quinnconnie,4884,181,15,6,124,41,12,"HTML,Rust,Dart,Kotlin,Python,SQL,Elixir",2.8074,Elixir,8,0.814,0.278,0.772,24,0.521,3.19,5.9627,-0.2907,13.37,1,1,0,10,695,51,0.4934,1
jerome23,3949,7113,1321,50,270,363,2296,"CSS,R,PHP,Rust,HTML,Ruby,Julia,Java,Dart,Python,SQL,JavaScript,Swift",3.7004,Rust,11,1.0,1.0,0.962,79,0.797,4.26,8.9178,-0.2268,10.81,1,0,0,109,1264,116,0.6695,2
dev_4889,1272,481,11,6,17,12,10,"R,Rust,Dart,C#,Python,TypeScript,Swift",2.8074,C#,7,0.427,0.345,0.787,27,0.242,1.29,2.2977,-0.1822,3.48,0,1,1,0,167,43,0.3401,1
stephenwalker,4408,694,72,217,268,286,1920,"Scala,CSS,R,Lua,Rust,Ruby,Julia,C#,C,Shell,Java,Swift",3.585,Scala,13,0.586,0.546,1.0,80,0.974,2.99,5.3926,-0.0649,12.07,1,1,1,10,3084,102,0.5558,2
elizabeth25,2008,2389,184,52,63,34,237,"CSS,Lua,Rust,Go,Dart,C,Elixir,Shell,Java,Swift",3.3219,Rust,6,1.0,0.681,0.859,62,0.665,3.01,1.9195,-0.1813,5.5,0,1,1,0,326,112,0.4625,2
crystal14,2309,1225,62,9,10,9,123,"Swift,Lua,Rust,C++,Python,C,Haskell,TypeScript,Elixir",3.1699,Rust,8,0.689,0.658,0.453,58,0.391,1.91,5.2917,0.0152,6.32,1,0,1,99,201,63,0.3859,2
nicole25,2742,5276,1532,118,97,185,111,"Lua,HTML,Rust,Julia,C#,C,Kotlin,Haskell,TypeScript,Go",3.3219,Kotlin,10,0.805,0.358,0.436,38,0.709,2.68,-2.6573,0.0115,7.51,0,1,0,0,1747,97,0.3757,1
mark63,961,37,5,14,18,34,70,"Swift,Dart,Kotlin,Python,Elixir",2.3219,Swift,8,0.374,0.113,0.0,57,0.505,2.3,-0.6139,0.1325,2.63,1,0,1,128,143,73,0.2475,1
garciajonathan,526,70,13,32,19,1,36,"SQL,CSS,Lua,C++,Haskell,Shell,Java",2.8074,CSS,6,0.583,0.73,0.531,34,0.384,1.54,-0.2232,-0.086,1.44,0,0,1,0,964,44,0.3198,2
millertammy,1285,2,0,4,0,0,13,Scala,0.0,Scala,0,0.0,0.0,0.0,3,0.356,1.3,-2.78,0.1768,3.52,0,0,1,0,138,0,0.0236,0
dev_9922,3428,8512,1035,202,227,48,196,"CSS,Lua,R,PHP,Rust,C++,Haskell,Ruby,Julia,C#,Kotlin,Python,SQL,TypeScript,Go,Swift",4.0,Kotlin,18,1.0,0.82,0.464,95,0.714,2.9,6.6675,0.0384,9.39,0,1,1,0,368,89,0.5985,2
dev_8968,4016,35000,6587,56,262,586,1805,"PHP,Rust,C,Java,Swift",2.3219,Swift,18,0.945,0.552,0.911,15,0.563,3.11,4.5103,0.0609,11.0,1,0,1,89,736,101,0.5293,2
steve95,3466,539,104,311,142,3,94,"Lua,PHP,Haskell,C++,Julia,Dart,SQL,TypeScript,Shell,Go,Elixir",3.4594,TypeScript,10,1.0,0.646,0.885,64,0.911,3.3,4.4968,-0.2142,9.49,0,1,0,0,857,82,0.523,2
emeyers,1134,37,1,23,22,3,695,"Lua,HTML,C++,Julia,Dart,Python,Kotlin,TypeScript,JavaScript",3.1699,TypeScript,6,0.517,0.194,0.048,26,0.771,1.96,5.3871,0.0256,3.1,1,1,1,73,313,0,0.3204,1
joshua92,1767,143,9,7,0,0,6,SQL,0.0,SQL,2,0.385,0.195,0.226,38,0.109,1.06,-5.063,0.1943,4.84,0,1,0,0,92,0,0.1123,0
dev_3172,30,6,0,26,26,31,20,Elixir,0.0,Elixir,1,0.345,0.0,0.0,3,0.095,0.53,-6.0612,0.336,0.1,0,0,1,0,14,0,0.0568,0
dev_6842,2930,64,11,30,29,2,145,"R,Go,C#,Haskell,JavaScript",2.3219,Go,11,0.762,0.36,0.299,70,0.372,2.32,1.4169,0.1489,8.02,0,1,0,0,102,41,0.258,1
garydaniels,2867,7193,1581,192,85,38,14080,"R,HTML,Rust,PHP,C++,Ruby,Julia,JavaScript,Java,C#,Python,Haskell,TypeScript,Go,Elixir",3.9069,Ruby,12,0.735,0.457,0.487,77,1.0,3.01,8.5338,-0.0122,7.85,1,0,1,73,4549,104,0.5444,2
dev_3543,503,394,23,47,4,0,430,"JavaScript,TypeScript,Go",1.585,Go,2,0.449,0.191,0.0,46,0.61,1.05,0.3791,0.0008,1.38,0,1,1,0,176,94,0.1847,0
tammy49,2190,6792,697,800,138,147,1259,"Scala,PHP,Dart,C#,Python,Java",2.585,Dart,10,1.0,0.508,0.603,48,0.574,2.95,-0.5426,-0.0186,6.0,1,1,1,104,841,116,0.3683,2
dev_4077,3235,435,82,7,17,5,243,"Rust,Elixir",1.0,Elixir,0,0.132,0.392,0.27,48,0.571,1.51,-0.5035,0.0314,8.86,0,1,0,0,1317,65,0.1804,1
dev_4836,672,11,0,53,10,0,85,"JavaScript,R,Rust",1.585,Rust,6,0.648,0.505,0.235,25,0.303,1.36,0.7216,0.0597,1.84,1,0,1,25,99,24,0.2017,1
rebecca39,336,277,48,4,27,1,688,"C,PHP,Java",1.585,Java,11,0.842,0.24,0.095,34,0.389,1.53,-4.7093,0.0401,0.92,1,1,0,26,334,58,0.2501,0
garyholmes,1235,130,13,86,38,44,3,"HTML,R,Rust,Julia,C#",2.3219,R,4,0.407,0.0,0.049,32,0.7,1.52,-0.3033,0.2301,3.38,0,1,0,0,112,0,0.2238,1
dev_1719,500,370,25,43,6,6,363,"Go,SQL,Kotlin",1.585,Kotlin,6,0.573,0.439,0.479,39,0.584,1.37,1.7414,0.0164,1.37,0,0,1,0,207,55,0.236,1
brownjoshua,599,53,2,3,2,3,626,"HTML,Elixir",1.0,Elixir,2,0.379,0.07,0.319,32,0.361,0.93,-6.3914,0.2451,1.64,0,0,1,0,6,34,0.085,0
okelley,4420,6562,1878,286,81,89,4518,"CSS,Lua,HTML,Haskell,Rust,Ruby,Dart,C,Python,SQL,Go",3.4594,Rust,10,1.0,0.491,0.343,79,0.625,2.89,2.7534,-0.1383,12.1,1,1,0,117,11833,110,0.4841,2
matthew61,30,102,11,1,18,28,19,"R,PHP,Go,Ruby,C,Haskell,Java",2.8074,C,0,0.032,0.279,0.33,52,0.547,0.88,0.963,0.1543,0.1,0,0,0,0,55,13,0.2427,0
dev_1349,584,525,55,18,6,15,127,"HTML,Go,Kotlin,JavaScript,Swift",2.3219,Go,4,0.108,0.39,0.238,29,0.451,1.97,-4.9452,0.1607,1.6,0,0,0,0,483,89,0.1758,0
dev_7329,486,162,32,10,6,1,69,"R,Rust,C++,JavaScript,Go",2.3219,C++,3,0.185,0.077,0.216,24,0.562,1.18,-4.2625,0.1608,1.33,0,0,0,0,56,46,0.167,0
bestes,3540,1576,5,46,762,348,42,"Lua,R,Go,C++,Ruby,Julia,JavaScript,C#,Kotlin,Python,Java",3.4594,Go,11,0.684,0.601,0.826,75,0.83,2.23,13.809,0.0071,9.69,1,0,0,70,3807,60,0.5027,2
brownstacy,3498,892,137,28,19,18,191,"CSS,Lua,Go,Rust,Shell,JavaScript,Elixir",2.8074,Lua,11,0.535,0.215,0.412,47,0.533,3.27,4.96,-0.1205,9.58,0,0,0,0,4107,45,0.3722,1
dev_449,2699,1520,3,27,334,372,105,"CSS,Lua,R,PHP,Go,Rust,HTML,Python,Kotlin,C,TypeScript,Java",3.585,PHP,10,0.727,0.558,0.055,51,0.842,2.96,0.2154,0.01,7.39,0,0,1,0,14797,41,0.4512,2
dev_3445,3174,1410,70,154,68,144,357,"CSS,Rust,Go,Julia,Dart,C#,C,SQL,TypeScript,JavaScript",3.3219,C#,5,0.544,0.648,0.494,57,0.447,2.8,3.8562,-0.1459,8.69,1,1,1,18,768,117,0.4369,2
stevenfigueroa,1766,1609,317,128,464,19,27,"R,HTML,C++,Ruby,Dart,C,TypeScript",2.8074,Ruby,1,0.636,0.732,0.136,51,0.453,3.65,0.9858,0.1263,4.84,1,1,1,117,548,53,0.315,1
elizabeth58,371,170,22,7,5,3,38,"R,Rust,C++,Julia,Java",2.3219,C++,3,0.151,0.374,0.206,3,0.01,1.83,-2.6666,0.1518,1.02,0,0,0,0,44,82,0.2163,0
hlowe,939,502,32,4,1,1,99,"CSS,Lua,R,Scala,Dart,C#,SQL",2.8074,Lua,10,0.059,0.243,0.258,49,0.319,1.16,-2.6564,0.1627,2.57,1,0,0,64,321,21,0.1797,1
dev_2177,30,3,0,1,32,49,22,Ruby,0.0,Ruby,0,0.158,0.317,0.116,20,0.219,1.58,-0.9526,0.2005,0.1,0,0,0,0,5,9,0.0955,0
justinstrickland,2490,87,10,36,39,25,525,"Julia,SQL,Java,Go",2.0,Go,10,0.445,0.164,0.259,18,0.664,0.98,5.9613,-0.038,6.82,0,0,0,0,250,27,0.3013,1
dcruz,2419,1579,58,27,10,5,27,"CSS,HTML,Go,C++,Haskell,JavaScript",2.585,CSS,4,0.363,0.579,0.435,41,0.537,2.27,1.4927,0.0645,6.62,0,1,0,0,231,6,0.3333,1
tammy76,1745,102,11,42,64,4,76,"R,PHP,C++,HTML,C#,C,SQL,JavaScript",3.0,PHP,0,0.359,0.176,0.435,3,0.823,1.71,3.4527,0.0843,4.78,1,0,0,47,61,60,0.3204,0
gabriela28,2260,171,8,33,105,8,96,"CSS,R,PHP,C,Haskell,TypeScript",2.585,Haskell,1,0.124,0.0,0.087,30,0.689,2.41,-5.1335,0.0399,6.19,0,0,1,0,66,0,0.2627,1
jennifer13,1227,2580,551,66,40,23,28,"TypeScript,Dart,Python",1.585,Dart,7,0.537,0.308,0.169,27,0.668,2.9,1.0579,-0.0185,3.36,1,0,0,31,271,62,0.2918,1
william21,136,148,8,7,4,1,492,"CSS,C++,Dart,Python,Elixir,Haskell,JavaScript,Swift",3.0,CSS,4,0.784,0.327,0.645,79,0.726,2.2,3.8685,0.0425,0.37,1,0,0,84,62,26,0.4334,1
dev_795,1035,233,36,1,33,1,2,"Lua,HTML,Haskell,C++,PHP,Dart,SQL,Elixir",3.0,C++,2,0.266,0.514,0.218,30,0.408,2.16,0.2223,0.0814,2.83,0,0,1,0,184,96,0.27,1
tamaraellis,30,2,0,6,17,6,20,Shell,0.0,Shell,0,0.531,0.0,0.209,26,0.157,1.54,-3.6128,0.1866,0.1,1,0,1,10,35,57,0.0951,0
dev_3833,2144,1972,251,7,42,45,21,"HTML,PHP,Rust,Haskell,TypeScript,Swift",2.585,Haskell,5,0.861,0.87,0.437,61,0.715,3.7,1.0578,-0.0449,5.87,1,1,1,48,10111,62,0.3897,1
dev_7637,1069,1399,117,20,9,10,141,"Scala,CSS,Ruby,Julia,Dart,Kotlin,C,JavaScript,Swift",3.1699,Swift,10,0.788,0.431,0.622,34,0.055,3.06,3.5445,-0.0743,2.93,0,1,1,0,490,109,0.3849,1
dev_181,899,243,18,8,19,18,13,"CSS,C#,Python,C,Haskell,TypeScript,Java,Elixir",3.0,Python,3,0.129,0.371,0.323,38,0.327,1.68,5.1774,0.0837,2.46,1,1,1,41,62,50,0.2694,1
dev_1151,1229,36,0,4,1,1,28,"SQL,CSS,Rust,Julia,C,Haskell,Shell",2.8074,Julia,3,0.1,0.0,0.297,3,0.48,0.7,-0.1343,0.0719,3.36,0,0,1,0,44,11,0.2127,0
danielle79,1659,354,99,24,5,0,28,"C++,Julia,Dart,TypeScript,Go",2.3219,Go,3,0.734,0.277,0.287,14,0.948,3.8,-0.9722,0.1561,4.54,1,0,0,88,272,48,0.2449,1
destiny11,782,56,2,1,2,3,18,"Julia,Scala",1.0,Scala,0,0.0,0.523,0.0,37,0.153,0.98,0.1956,0.1852,2.14,1,0,0,36,7,0,0.0978,0
karen97,1692,349,39,23,25,31,36,JavaScript,0.0,JavaScript,7,0.611,0.33,0.361,56,0.405,1.97,1.9778,-0.0727,4.63,0,1,0,0,1469,38,0.2215,1
melissa53,1555,67,20,74,29,24,177,"Scala,Rust,Julia,C#,Kotlin,SQL,JavaScript,Swift",3.0,JavaScript,3,0.482,0.4,0.27,6,0.229,0.89,2.2797,-0.0248,4.26,1,0,0,31,603,0,0.2436,1
parkamanda,2726,371,156,30,49,49,95,"CSS,Lua,Rust,Ruby,Julia,Java,Python,Kotlin,Haskell,Go,Elixir",3.4594,Ruby,10,0.603,0.124,0.842,42,0.705,1.37,3.432,-0.0302,7.46,0,0,0,0,287,89,0.4164,2
matthew03,1146,215,27,13,57,93,21,"Julia,Dart,JavaScript,Elixir",2.0,Dart,7,0.436,0.109,0.426,47,0.395,2.04,-0.6594,-0.0379,3.14,1,1,0,84,25,29,0.2495,1
ocollins,1046,74,0,12,0,0,42,"CSS,Lua,Rust,C#,Swift",2.3219,Swift,0,0.087,0.284,0.367,47,0.511,1.12,-6.9807,0.0583,2.86,1,0,1,46,361,0,0.2325,1
umyers,304,211,35,5,3,4,16,"Lua,R",1.0,Lua,0,0.0,0.0,0.551,16,0.201,1.91,-4.3183,0.249,0.83,0,0,0,0,14,0,0.0907,0
vdunn,30,18,1,7,2,4,18,TypeScript,0.0,TypeScript,1,0.471,0.071,0.23,22,0.231,1.28,3.7759,0.193,0.1,0,0,1,0,5,20,0.1608,0
dev_8237,797,2,0,7,0,0,23,Scala,0.0,Scala,2,0.0,0.352,0.179,26,0.018,1.84,-2.9317,0.1415,2.18,0,0,0,0,7,72,0.1437,0
doyleandrew,2323,3474,513,56,147,92,90,"Scala,CSS,R,PHP,Haskell,HTML,Dart,Python,SQL,TypeScript,Shell,Java,Elixir",3.7004,PHP,17,0.627,0.728,0.903,58,0.889,3.2,8.9353,-0.2272,6.36,0,1,1,0,1937,79,0.6081,2
ricky1,2166,3480,401,97,124,115,56,"HTML,PHP,Julia,Python,Kotlin,Go",2.585,HTML,5,0.505,0.506,0.241,55,0.57,2.37,7.0001,-0.2526,5.93,1,0,1,40,726,85,0.3458,2
dev_9521,1500,786,230,14,213,205,15,"Lua,C++,C#,Kotlin,Elixir,Swift",2.585,Elixir,6,0.995,0.639,0.436,80,0.909,2.38,1.6185,-0.0484,4.11,0,1,0,0,130,85,0.4273,1
cheyennestafford,1043,42,3,4,13,13,6,"CSS,HTML,Ruby,Kotlin,Go",2.3219,CSS,3,0.015,0.059,0.0,16,0.368,1.15,-2.2073,0.0009,2.86,0,0,0,0,45,0,0.1752,0
