developer_id,account_age_days,total_commits,commits_last_90d,total_repos,pull_requests_merged,issues_closed,stars_received,languages_used,language_entropy,primary_language,framework_count,has_readme_pct,has_tests_pct,has_ci_pct,commit_message_avg_len,fork_to_original_ratio,languages_per_repo_avg,commit_trend_slope,activity_decay_lambda,years_active,has_bio,has_company,has_location,bio_length,avg_repo_size_kb,avg_repo_description_len,developer_dna_score,developer_tier,primary_language_encoded
dev_7309,1935,73.0,4,82,457.0,190.0,152.0,"CSS,Lua,R,Ruby,Python,Kotlin,Shell,JavaScript,Elixir",3.1699,Lua,14,0.706,0.537,0.515,25,0.279,2.01,6.2986,-0.0514,5.3,0,0,1,0,401,111,0.4124,1,13
chase83,2350,191.0,48,5,7.0,6.0,128.0,"Lua,C++,Ruby,Julia,C#,C,Kotlin,Java",3.0,Java,2,0.218,0.235,0.446,12,0.327,1.54,4.07,0.1138,6.43,1,0,0,63,94,4,0.2396,1,9
samantha73,1990,199.0,15,25,7.0,9.0,25.0,"Julia,HTML,R,Go",2.0,R,9,0.713,0.034,0.586,30,0.456,2.44,4.0715,0.0566,5.45,0,1,0,0,453,48,0.3518,1,16
dev_4931,1679,73.0,5,8,2.0,0.0,29.0,"CSS,HTML,PHP,Rust,Julia,C,Python,Kotlin,JavaScript,Elixir",3.3219,JavaScript,5,0.0,0.076,0.09,13,0.323,1.98,2.486,0.1975,4.6,1,0,1,131,23,28,0.247,0,10
chrispitts,368,163.0,24,10,11.0,16.0,32.0,"Ruby,Lua,Dart,C++",2.0,Dart,4,0.738,0.023,0.648,10,0.287,2.34,3.9307,-0.0415,1.01,0,1,1,0,1736,73,0.2754,0,4
melissamiller,1145,192.0,39,2,39.0,66.0,36.0,"Rust,Kotlin",1.0,Rust,0,0.255,0.483,0.31,22,0.529,1.72,0.3651,0.2403,3.13,0,0,0,0,48,13,0.1644,0,18
crystal2,3088,6149.0,285,44,106.0,102.0,1115.0,"Swift,HTML,Haskell,PHP,C++,SQL,Elixir",2.8074,Haskell,9,0.683,0.795,0.82,64,0.906,2.87,3.0469,0.0611,8.45,1,0,0,133,2200,59,0.4525,2,8
kaitlyn86,3813,892.0,71,454,80.0,85.0,133.0,"Lua,HTML,PHP,Rust,C++,Ruby,Julia,Dart,C#,C,Kotlin,TypeScript,Go,Swift",3.8074,TypeScript,16,0.809,1.0,0.936,83,0.907,4.02,2.2855,-0.1094,10.44,1,0,1,68,3742,121,0.5755,2,23
ggoodwin,56,61.0,13,3,3.0,4.0,20.0,"Haskell,PHP,Java",1.585,Haskell,3,0.0,0.301,0.0,5,0.125,1.36,-1.5932,0.1327,0.15,0,0,0,0,142,20,0.1189,0,8
jameswhite,4366,185.0,36,278,56.0,32.0,86.0,"CSS,Lua,Rust,Ruby,C#,Haskell,Shell,JavaScript",3.0,JavaScript,8,0.788,0.561,0.421,78,1.0,3.6,5.4908,0.019,11.95,0,0,1,0,351,78,0.4699,2,10
dev_936,3885,80.0,2,12,46.0,46.0,17.0,"CSS,Rust,C++,Ruby,C#,SQL,TypeScript,Elixir",3.0,Rust,12,0.688,0.715,0.358,37,0.795,2.89,-0.5876,-0.0999,10.64,1,1,1,132,1595,47,0.4158,1,18
twilliams,1252,34.0,4,2,13.0,0.0,8.0,Haskell,0.0,Haskell,9,0.01,0.176,0.0,54,0.473,1.71,4.6713,0.1278,3.43,1,0,0,35,133,14,0.1411,0,8
justin65,3152,277.0,9,105,63.0,1.0,904.0,"Lua,R,Ruby,Julia,C#,Python,SQL,Shell,Java",3.1699,Ruby,12,0.602,0.641,0.08,41,0.312,2.29,4.4822,-0.072,8.63,0,1,1,0,1299,99,0.4093,1,17
darlenedoyle,1069,361.0,2,90,4.0,4.0,47.0,"PHP,Rust,Ruby,SQL,Elixir",2.3219,Ruby,8,0.917,0.291,0.289,50,0.699,2.03,0.6098,-0.1565,2.93,1,1,0,122,429,38,0.3274,1,17
dev_8924,2282,708.0,104,24,208.0,81.0,14.0,"CSS,HTML,PHP,C,TypeScript",2.3219,PHP,8,0.358,0.36,0.027,51,0.19,1.59,5.8841,0.1317,6.25,0,0,1,0,128,26,0.2451,1,14
dev_2632,2634,963.0,202,66,20.0,15.0,194.0,"CSS,PHP,Rust,Java,C#,Haskell,Go,Swift",3.0,C#,12,0.557,0.339,0.572,24,0.768,1.52,4.6271,-0.0589,7.21,0,0,0,0,423,19,0.3683,1,1
dev_7862,1640,189.0,44,3,3.0,0.0,0.0,C#,0.0,C#,0,0.447,0.164,0.116,3,0.579,1.38,-1.6565,0.2702,4.49,0,0,0,0,23,0,0.1463,0,1
jacqueline48,1383,130.0,25,3,1.0,0.0,83.0,Scala,0.0,Scala,3,0.044,0.371,0.221,22,0.129,1.53,-0.9652,0.1253,3.79,0,0,0,0,49,0,0.1342,0,20
alan1,946,14.0,2,3,14.0,11.0,1.0,PHP,0.0,PHP,0,0.257,0.171,0.09,3,0.19,1.66,-5.1907,0.1372,2.59,0,0,0,0,21,2,0.0506,0,14
dev_3367,3288,3180.0,204,14,260.0,574.0,6486.0,"Scala,R,PHP,C++,Rust,Java,C#,Kotlin,Python,Elixir,Haskell,Shell,JavaScript,Swift",3.8074,Kotlin,13,0.943,0.146,0.821,56,0.579,2.97,3.8884,-0.1722,9.0,0,1,1,0,1834,35,0.5016,2,12
jeanettehooper,1400,1310.0,220,10,548.0,834.0,54.0,"Lua,HTML,R,Rust,TypeScript,Java",2.585,Lua,9,0.297,0.056,0.377,48,0.62,2.16,7.1611,-0.157,3.83,1,1,1,130,119,24,0.36,1,13
lynn77,1540,83.0,14,12,45.0,22.0,102.0,"Scala,Lua,HTML,Rust,Julia,JavaScript,Kotlin,Go",3.0,Kotlin,9,0.482,0.775,0.076,47,0.787,2.94,0.0163,-0.0974,4.22,1,0,1,82,204,69,0.3908,1,12
dev_5243,2850,4032.0,855,15,150.0,146.0,492.0,"Swift,R,Lua,PHP,Rust,C++,Ruby,Haskell,Java,C#,C,SQL,TypeScript,Go,Elixir",3.9069,TypeScript,9,1.0,0.964,0.943,46,0.864,3.01,1.4203,-0.1837,7.8,1,0,1,27,5248,54,0.5587,2,23
michellewhite,4546,9201.0,1162,38,740.0,679.0,2989.0,"Lua,PHP,Julia,Java,C#,C,Kotlin,Elixir,Shell,Go,Swift",3.4594,Swift,6,0.591,0.54,0.363,51,0.358,2.86,4.7029,-0.1504,12.45,0,0,1,0,309,20,0.4559,1,22
jeffrey37,1175,427.0,8,17,25.0,27.0,13.0,"Scala,CSS,HTML,Kotlin,JavaScript,Swift",2.585,Scala,5,0.646,0.203,0.219,69,0.774,0.5,5.3891,0.032,3.22,1,0,1,93,64,26,0.273,1,20
dev_1537,304,241.0,2,22,7.0,0.0,41.0,"Haskell,TypeScript",1.0,Haskell,6,0.096,0.091,0.154,41,0.452,1.76,6.4086,-0.0692,0.83,0,0,0,0,10,12,0.2305,0,8
alejandro60,1477,416.0,69,3,8.0,11.0,39.0,R,0.0,R,9,0.663,0.52,0.0,63,0.306,1.67,-0.9589,0.1413,4.04,0,0,0,0,171,40,0.1433,1,16
jason1,2740,4281.0,621,58,229.0,425.0,145.0,"PHP,C++,Julia,C,Haskell,TypeScript,Elixir",2.8074,Julia,9,0.441,0.681,0.81,57,0.318,3.64,-1.5096,-0.2093,7.5,1,0,0,15,1580,69,0.4653,2,11
marissahammond,2273,4237.0,1126,16,11.0,9.0,54.0,"R,PHP,Python,Kotlin,Go",2.3219,Kotlin,5,0.916,0.372,0.095,15,1.0,2.12,3.4689,-0.0478,6.22,1,0,0,127,117,64,0.3229,1,12
dev_3521,2831,4870.0,906,86,210.0,140.0,697.0,"Lua,Haskell,C++,Rust,Ruby,C#,C,Python,Elixir,SQL,JavaScript,Swift",3.585,SQL,15,0.811,0.593,0.731,45,0.826,2.17,9.5066,-0.0849,7.75,1,0,1,27,3241,58,0.4778,2,19
dawn16,2224,79.0,6,5,66.0,75.0,0.0,"R,C",1.0,C,0,0.148,0.174,0.276,30,0.623,2.06,1.8189,0.1315,6.09,0,0,0,0,48,0,0.2116,1,0
dev_9574,1551,3222.0,828,101,131.0,80.0,7090.0,"Scala,Dart,C#,Python,Kotlin,SQL,Shell,JavaScript",3.0,Kotlin,11,1.0,0.456,0.522,103,0.788,2.62,6.8761,-0.1271,4.25,1,1,1,33,275,146,0.4636,2,12
willie25,3729,14862.0,3825,87,69.0,53.0,576.0,"HTML,R,C++,JavaScript,Java,Dart,C#,Kotlin,Elixir,Go,Swift",3.4594,Java,14,1.0,0.562,0.82,69,0.641,4.03,3.4336,-0.1876,10.21,0,1,1,0,3573,105,0.5554,2,9
michael94,1317,1204.0,312,4,854.0,515.0,483.0,"Scala,Swift,R,Lua,Ruby,Dart,Kotlin,TypeScript,Java,Elixir",3.3219,Scala,9,0.491,0.449,0.091,77,0.331,2.04,2.2226,0.0195,3.61,0,1,0,0,721,58,0.3389,1,20
angela21,2433,659.0,102,48,305.0,645.0,972.0,"CSS,Lua,PHP,C++,JavaScript,Dart,C,Python,Kotlin,TypeScript,Go",3.4594,PHP,11,0.551,0.58,0.294,59,0.71,1.28,3.4011,0.0065,6.66,1,1,0,85,108,39,0.4416,1,14
joshua4,2143,66.0,1,157,6.0,1.0,161.0,"CSS,Lua,HTML,C++,C#,Kotlin,C,Python,Java,Elixir",3.3219,C,6,0.243,0.349,0.153,30,0.458,1.6,-0.4886,0.0317,5.87,1,0,0,92,393,38,0.3128,0,0
juan54,2555,1193.0,260,157,200.0,37.0,1319.0,"Scala,CSS,R,Haskell,C#,C,SQL,TypeScript,JavaScript,Elixir",3.3219,JavaScript,7,0.163,0.515,0.983,92,0.596,3.03,3.8489,-0.241,7.0,1,0,1,38,3604,91,0.4024,2,10
dev_9459,4038,461.0,28,54,178.0,35.0,47.0,"SQL,CSS,R,C++,Rust,Ruby,Python,Haskell,Shell",3.1699,CSS,7,0.97,0.0,0.35,88,0.65,3.17,4.1083,-0.1417,11.06,1,0,1,34,437,94,0.339,2,3
beverly79,1670,26.0,6,12,2.0,2.0,34.0,"CSS,Go,C++",1.585,Go,5,0.0,0.144,0.201,3,0.385,2.03,-1.4589,0.2041,4.57,0,1,0,0,177,63,0.1456,0,6
dev_9556,1633,70.0,13,9,18.0,7.0,14.0,"Ruby,C,Go",1.585,Go,0,0.503,0.0,0.356,3,0.129,1.26,-0.1716,-0.0176,4.47,0,0,0,0,399,42,0.1443,0,6
cory60,1021,788.0,34,45,333.0,33.0,277.0,"Scala,R,Rust,C++,Julia,Kotlin,SQL,JavaScript,Swift",3.1699,Rust,11,0.875,0.487,0.176,41,0.787,3.9,-0.7989,-0.1397,2.8,0,0,1,0,1530,100,0.3669,1,18
heather70,603,41.0,6,1,0.0,0.0,42.0,"Lua,HTML,PHP,Python,Kotlin",2.3219,PHP,1,0.002,0.073,0.59,3,0.664,0.5,-0.0159,0.2515,1.65,1,0,0,64,41,28,0.1812,0,14
elizabeth99,1727,2213.0,200,3,33.0,3.0,99.0,Julia,0.0,Julia,9,0.556,0.0,0.418,41,0.618,2.71,-6.0574,-0.0032,4.73,1,0,0,57,131,78,0.156,1,11
dev_4944,876,799.0,49,202,46.0,57.0,58.0,"Scala,Swift,HTML,PHP,Rust,Dart,Haskell,TypeScript,Java,Elixir",3.3219,Elixir,8,0.467,0.768,0.062,26,1.0,2.61,-6.7758,0.132,2.4,1,0,1,38,4198,96,0.4472,1,5
vanessa93,2093,97.0,26,10,20.0,6.0,5.0,"Ruby,Swift",1.0,Swift,0,0.499,0.337,0.046,28,0.759,2.0,0.9576,0.2785,5.73,0,0,0,0,31,45,0.182,0,22
dev_3875,1214,467.0,71,12,5.0,6.0,108.0,"HTML,C++,Julia,C#,Python,Go,Swift",2.8074,HTML,6,0.389,0.415,0.074,40,0.956,1.39,6.4984,0.2157,3.32,0,0,0,0,49,5,0.3339,2,7
james1,4568,800.0,109,173,114.0,17.0,1777.0,"Scala,CSS,HTML,Go,C++,Julia,C#,C,Python,Elixir,Kotlin,Haskell,Shell,Java,Swift",3.9069,HTML,10,0.799,0.343,0.758,103,0.931,4.7,3.6418,-0.2192,12.51,1,1,1,92,510,135,0.5293,2,7
kimestrada,941,81.0,13,1,2.0,1.0,28.0,Dart,0.0,Dart,0,0.519,0.0,0.0,4,0.01,0.5,-2.3084,0.1978,2.58,0,0,0,0,49,11,0.1137,0,4
kathy18,2755,59.0,8,19,39.0,43.0,87.0,"Scala,HTML,Rust,C++,C#,C,Elixir",2.8074,C++,6,0.987,0.499,0.48,66,0.321,2.71,8.2072,-0.0416,7.54,0,1,1,0,2084,69,0.4767,1,2
margaret39,3259,475.0,105,134,89.0,29.0,110.0,"Lua,Swift,Ruby,Java,Dart,C,Python,Shell,Go,Elixir",3.3219,Java,14,0.939,0.614,0.744,62,0.755,2.62,2.5729,-0.0785,8.92,1,0,1,130,2374,62,0.4407,2,9
dev_8083,2022,14974.0,2774,122,777.0,1023.0,1024.0,"CSS,R,PHP,C++,Rust,Haskell,TypeScript,JavaScript",3.0,CSS,7,0.799,0.724,0.28,70,0.906,3.29,6.4035,-0.0734,5.54,1,0,1,53,881,77,0.5022,2,3
dev_8420,1432,1963.0,119,238,89.0,56.0,481.0,"CSS,HTML,R,Go,Rust,C#,Kotlin,Haskell,TypeScript,Java",3.3219,Go,13,1.0,0.724,0.483,93,1.0,3.66,2.5469,-0.2154,3.92,1,1,1,80,8814,66,0.497,2,6
hubbardcaitlin,1915,38.0,3,2,18.0,13.0,32.0,"Rust,Python,Elixir,TypeScript,Swift",2.3219,Elixir,4,0.226,0.373,0.209,30,0.123,1.8,0.2536,0.002,5.24,1,0,1,121,65,47,0.2826,1,5
dev_1715,2935,296.0,57,3,43.0,2.0,208.0,"CSS,Lua,Dart,Kotlin,SQL,Shell",2.585,Dart,6,0.668,0.524,0.64,43,0.554,1.52,7.3961,-0.0924,8.04,0,0,0,0,636,50,0.3744,1,4
dev_520,1273,234.0,30,8,31.0,10.0,173.0,"Scala,Lua,R,Rust,JavaScript,Dart,Kotlin,Haskell,Java",3.1699,Java,10,0.181,0.547,0.515,34,0.782,2.52,6.3171,-0.0857,3.49,0,0,1,0,952,62,0.3887,2,9
brianna46,1856,17.0,5,20,2.0,1.0,288.0,"R,PHP,Python,C,Elixir,Java,Swift",2.8074,C,6,0.138,0.556,0.784,65,0.214,2.11,0.8269,0.0009,5.08,0,0,0,0,235,33,0.3165,1,0
dev_5373,1634,1916.0,356,10,5.0,7.0,21.0,"Ruby,JavaScript,Shell,Go,Swift",2.3219,Go,6,0.881,0.391,0.269,71,0.811,3.67,7.1483,0.0843,4.47,1,0,1,63,1759,113,0.3946,1,6
dev_1581,2884,379.0,48,48,158.0,151.0,395.0,"HTML,PHP,C,Kotlin,TypeScript,Swift",2.585,Swift,9,0.613,0.349,0.378,41,0.726,3.1,6.6116,-0.0246,7.9,1,0,0,88,1705,4,0.3873,2,22
billy47,1590,113.0,11,3,5.0,3.0,108.0,"HTML,PHP,C,Haskell,Elixir",2.3219,PHP,7,0.734,0.433,0.42,52,0.148,2.46,2.1409,0.0077,4.35,0,1,0,0,503,102,0.2482,1,14
krice,3099,22118.350000000006,3384,800,41.0,25.0,1692.0,"CSS,Lua,Scala,PHP,R,Ruby,Java,Python,C,SQL,TypeScript,Go,Swift",3.7004,C,13,0.622,0.466,0.319,31,0.393,4.03,7.359,-0.0602,8.48,1,0,1,113,1219,33,0.5737,2,0
sherri77,3664,18054.0,469,106,73.0,17.0,218.0,"CSS,Lua,R,PHP,C++,Go,Rust,Ruby,HTML,Dart,Kotlin,Python,TypeScript,Java,Swift",3.9069,CSS,16,0.874,0.242,0.775,76,0.555,3.9,2.3742,-0.0503,10.03,1,1,1,66,1347,88,0.5557,2,3
dev_9407,2980,217.0,28,24,7.0,2.0,391.0,"Python,C#,C++",1.585,C#,10,0.556,0.497,0.234,50,0.98,2.36,-3.8416,0.08,8.16,1,0,0,122,1050,64,0.3502,1,1
blevinsmonica,2311,333.0,5,5,22.0,22.0,21.0,"CSS,Lua,Scala,Ruby,C,Elixir",2.585,C,4,0.537,0.482,0.0,11,0.221,3.14,2.5295,0.1559,6.33,0,0,0,0,8,33,0.3011,0,0
dev_7894,169,12.0,1,9,2.0,2.0,3.0,"Julia,TypeScript,Swift",1.585,Swift,2,0.385,0.266,0.284,36,0.463,1.63,-2.7706,0.2169,0.46,1,0,0,42,16,0,0.1791,0,22
bruce31,1041,984.0,83,31,24.0,9.0,50.0,"Haskell,Rust,Dart,Kotlin,SQL,Shell,Java",2.8074,Java,6,0.877,0.0,0.271,53,0.309,1.08,0.0599,0.1312,2.85,1,0,1,121,340,29,0.2404,0,9
sabrina91,2501,134.0,40,53,117.0,181.0,60.0,"CSS,C++,Julia,Elixir,SQL,TypeScript,Shell,JavaScript,Swift",3.1699,CSS,12,0.517,0.104,0.598,14,0.276,0.55,3.5453,-0.1492,6.85,0,1,1,0,1193,4,0.2807,2,3
rossmichael,2536,2394.0,421,89,1701.0,872.0,90.0,"Scala,PHP,C++,Dart,Shell,Go",2.585,C++,11,0.668,0.729,0.427,67,0.553,2.65,3.4114,-0.1993,6.94,1,0,1,140,206,123,0.4423,2,2
dev_6878,2693,2814.0,40,92,38.0,49.0,163.0,"Lua,PHP,Python,SQL,Elixir",2.3219,Elixir,13,0.561,0.511,0.596,46,0.805,1.99,1.8098,0.0632,7.37,1,0,1,28,753,78,0.3181,2,5
emily90,3606,5939.0,1453,225,521.0,848.0,7166.0,"SQL,Lua,Julia,Java,C#,C,Python,Haskell,Shell,Go",3.3219,Julia,16,1.0,0.824,0.865,68,0.53,4.8,1.6337,0.0048,9.87,1,0,1,109,2914,117,0.5637,2,11
henry26,1849,254.0,82,6,2.0,1.0,69.0,"Java,PHP,C",1.585,PHP,7,0.623,0.354,0.311,13,0.187,2.28,-1.4529,-0.0081,5.06,1,1,1,33,91,103,0.2354,1,14
lisa02,3373,60.0,6,49,14.0,4.0,21.0,"R,PHP,HTML,Rust,Python,Haskell,TypeScript,Java,Elixir",3.1699,Haskell,2,0.566,0.316,0.383,62,0.626,2.3,-0.3534,0.0406,9.23,0,1,0,0,73,41,0.3294,0,8
dev_2998,2670,2107.0,439,144,1448.0,162.0,2870.0,"Lua,HTML,PHP,Go,Ruby,Julia,Dart,Python,Kotlin,Elixir,TypeScript,Shell,Java,Swift",3.8074,HTML,16,0.922,0.993,0.553,91,0.781,3.51,6.0217,-0.088,7.31,1,1,1,49,8062,80,0.5993,2,7
michael38,1011,489.0,18,22,347.0,74.0,288.0,"R,HTML,C++,Dart,C",2.3219,Dart,5,0.808,0.449,0.246,70,0.701,1.19,6.4388,-0.1306,2.77,1,1,1,40,547,66,0.3091,2,4
gregory59,30,51.0,7,13,3.0,3.0,4.0,Elixir,0.0,Elixir,0,0.0,0.0,0.0,3,0.199,0.51,-4.6496,0.1787,0.1,1,0,0,49,12,0,0.004,0,5
dev_9785,1205,1103.0,390,84,46.0,32.0,44.0,"CSS,Lua,R,PHP,Go,HTML,Kotlin,Elixir,SQL,TypeScript,Java,Swift",3.585,CSS,16,0.589,0.852,0.371,49,0.978,2.79,6.2047,-0.087,3.3,1,1,1,132,661,74,0.4998,2,3
dev_3392,689,484.0,67,25,24.0,11.0,15.0,"Elixir,TypeScript,HTML,Dart",2.0,HTML,0,0.219,0.092,0.041,40,0.202,3.08,3.7014,0.1961,1.89,1,0,0,110,28,41,0.1372,0,7
cynthia64,449,280.0,4,13,33.0,23.0,83.0,"Scala,R,PHP,C++,Haskell,Shell,Go",2.8074,C++,4,0.409,0.32,0.53,27,0.698,2.08,-1.4824,0.0704,1.23,1,0,0,133,250,62,0.3081,1,2
dev_558,2733,18344.0,941,207,126.0,88.0,140.0,"CSS,Ruby,Julia,Dart,C#,TypeScript,JavaScript",2.8074,Ruby,9,0.964,0.42,0.54,42,0.867,2.13,6.3538,0.0101,7.48,1,0,0,90,2010,122,0.5205,2,17
dev_832,334,45.0,2,6,2.0,1.0,8.0,"Scala,Ruby,C#,Kotlin,SQL",2.3219,Ruby,0,0.433,0.152,0.252,3,0.548,1.85,4.8658,0.0589,0.91,1,0,0,55,19,68,0.2702,0,17
allenjennifer,1496,3391.0,51,105,10.0,7.0,72.0,"HTML,PHP,Rust,Go,Haskell,Julia,C#,SQL,TypeScript,Shell,Java,Swift",3.585,Java,11,0.427,0.565,0.509,54,0.518,2.74,0.8059,-0.1488,4.1,1,0,1,84,1055,78,0.4706,1,9
dev_5174,2406,281.0,18,51,45.0,38.0,34.0,"Scala,PHP,JavaScript,Dart,C,Kotlin,Go",2.8074,PHP,10,0.566,0.282,0.536,15,0.427,1.48,1.3371,0.1492,6.59,1,0,0,118,98,2,0.3357,1,14
jason25,481,57.0,4,3,9.0,8.0,33.0,Haskell,0.0,Haskell,0,0.463,0.228,0.15,21,0.404,0.5,2.3429,0.1467,1.32,0,0,0,0,5,36,0.0932,0,8
dev_4302,4062,399.0,47,48,37.0,55.0,80.0,"SQL,Lua,R,PHP,Rust,C++,Go,Python,Kotlin,Haskell,Shell,JavaScript",3.585,Shell,13,1.0,0.512,0.564,60,0.815,2.87,5.9968,-0.1087,11.12,1,0,1,93,1014,85,0.5594,2,21
william26,1643,635.0,95,27,202.0,101.0,919.0,"SQL,CSS,Rust,Ruby,Julia,Dart,Kotlin,Haskell",3.0,Dart,9,1.0,0.388,0.371,51,0.636,3.21,3.8113,-0.0262,4.5,1,1,0,32,1032,86,0.4053,2,4
dev_1204,1344,20.0,0,26,68.0,17.0,49.0,"HTML,JavaScript",1.0,JavaScript,4,0.379,0.0,0.027,20,0.63,1.04,-5.3724,0.2476,3.68,0,1,1,0,78,50,0.1403,0,10
dev_5308,1198,532.0,107,15,52.0,51.0,69.0,"Lua,R,C++,Haskell,Swift",2.3219,Lua,4,0.553,0.546,0.422,23,0.121,2.53,9.8206,0.0336,3.28,0,0,0,0,53,87,0.3367,1,13
usimmons,1865,150.0,20,32,5.0,13.0,30.0,"C,Python,Swift",1.585,Python,1,0.526,0.086,0.0,14,0.316,3.06,0.504,0.0719,5.11,0,0,1,0,253,83,0.1467,0,15
amandafreeman,495,13.0,0,3,11.0,6.0,5.0,"PHP,C++",1.0,C++,0,0.203,0.086,0.309,10,0.483,0.5,2.0259,0.2666,1.36,0,0,0,0,11,20,0.1685,0,2
morenowendy,2484,735.0,51,208,75.0,36.0,117.0,"SQL,CSS,HTML,PHP,Rust,C#,C,Python,Haskell,TypeScript,JavaScript,Swift",3.585,TypeScript,8,0.374,0.283,0.697,33,0.567,2.91,-1.4937,-0.0412,6.8,1,0,1,92,1007,80,0.3932,2,23
morgan74,3998,797.0,20,23,44.0,13.0,6829.0,"Haskell,JavaScript,Java,Dart,Python,Kotlin,SQL,Go,Elixir",3.1699,Elixir,10,0.792,0.598,1.0,35,1.0,3.29,8.0819,-0.1046,10.95,0,0,1,0,314,157,0.5916,1,5
dev_7554,577,486.0,92,29,3.0,1.0,9.0,"Ruby,Haskell,Scala,Dart",2.0,Ruby,4,0.612,0.439,0.352,38,0.668,1.7,-6.9223,0.2703,1.58,0,0,0,0,73,79,0.2279,1,17
pamela95,755,203.0,35,45,49.0,83.0,58.0,"Rust,C++,Kotlin,C,SQL,Shell",2.585,C++,10,0.764,0.429,0.0,5,0.601,2.44,-1.1659,0.0942,2.07,1,0,0,75,294,59,0.3193,1,2
dev_5882,223,209.0,43,14,13.0,5.0,32.0,"Ruby,C++",1.0,Ruby,3,0.484,0.0,0.0,8,0.175,1.28,4.6627,0.2515,0.61,1,0,0,112,41,32,0.1081,0,17
jessica42,240,15.0,3,3,17.0,13.0,3.0,"R,Kotlin",1.0,Kotlin,0,0.0,0.047,0.209,3,0.01,0.97,-5.4401,0.0817,0.66,0,0,0,0,54,7,0.1251,0,12
dev_6788,2882,602.0,33,292,150.0,230.0,92.0,"Go,CSS,Rust,C++",2.0,C++,7,0.81,0.574,0.779,32,0.346,3.43,-0.513,-0.0905,7.89,1,1,1,103,1798,8,0.409,2,2
zdudley,1162,1290.0,146,4,37.0,16.0,4.0,"Scala,HTML,C++,Ruby,C#,SQL,Java",2.8074,Ruby,7,0.511,0.813,0.175,54,0.57,2.81,-0.0092,-0.0823,3.18,0,1,0,0,432,46,0.3677,1,17
dev_9330,1655,62.0,8,19,6.0,2.0,251.0,"Scala,CSS,R,PHP,Dart,C,SQL",2.8074,PHP,6,0.538,0.271,0.537,54,0.72,2.81,1.8436,-0.0234,4.53,0,1,1,0,88,95,0.4004,1,14
dev_8793,4588,585.0,17,28,226.0,247.0,7303.400000000031,"Scala,R,Haskell,C++,PHP,C#,Kotlin,SQL,Go",3.1699,Haskell,9,1.0,0.601,0.441,50,0.641,3.69,5.6371,-0.1487,12.56,0,1,0,0,413,107,0.5358,2,8
holly61,2395,2661.0,279,800,261.0,334.0,146.0,"CSS,Lua,Swift,R,C++,Scala,Julia,JavaScript,Dart,C#,Python,Haskell,TypeScript,Java,Elixir",3.9069,JavaScript,10,0.618,0.727,0.828,103,1.0,3.97,2.6316,-0.1621,6.56,0,1,1,0,143,119,0.5328,2,10
dev_6812,831,222.0,11,35,4.0,1.0,13.0,"PHP,C",1.0,C,3,0.429,0.0,0.115,34,0.438,0.5,2.6499,0.1967,2.28,1,0,1,51,41,12,0.1777,0,0
dev_2502,702,74.0,20,13,3.0,5.0,155.0,"CSS,Elixir",1.0,CSS,0,0.22,0.0,0.075,3,0.113,1.64,0.0094,0.176,1.92,0,0,0,0,15,0,0.1153,0,3
wmays,2113,420.0,30,127,269.0,157.0,7196.0,"Scala,HTML,PHP,Java,C#,C,Python,Kotlin,Haskell,JavaScript,Elixir",3.4594,Java,16,1.0,0.441,0.459,44,0.829,3.27,9.3638,-0.0546,5.79,0,1,1,0,130,89,0.6056,2,9
dev_3329,2328,1719.0,108,67,333.0,112.0,165.0,"Lua,PHP,Dart,Elixir,SQL,TypeScript,Swift",2.8074,Elixir,11,0.529,0.954,0.515,27,0.451,3.14,6.6445,-0.055,6.37,1,0,1,38,529,92,0.4496,2,5
rodriguezteresa,2083,1142.0,243,222,118.0,70.0,103.0,"CSS,Lua,HTML,PHP,R,C++,Rust,Ruby,Kotlin,Python,C,Haskell,TypeScript,Java",3.8074,PHP,12,0.981,0.734,0.537,79,0.33,3.92,6.238,-0.0128,5.7,1,0,0,52,3097,47,0.4933,1,14
fuentescody,2956,575.0,25,43,135.0,158.0,591.0,"R,Rust,Ruby,Julia,Elixir,TypeScript,Shell,JavaScript,Swift",3.1699,Rust,9,0.928,0.381,0.387,64,0.951,2.17,3.9315,-0.0598,8.09,1,1,0,14,333,44,0.4222,1,18
eric17,1445,45.0,5,22,40.0,6.0,73.0,"Scala,Kotlin",1.0,Kotlin,6,0.224,0.618,0.068,46,0.82,2.1,-4.3758,0.0893,3.96,1,0,0,118,1095,45,0.2466,1,12
james72,3630,6013.0,1683,31,517.0,1031.0,181.0,"CSS,Lua,R,Rust,Ruby,Julia,Dart,C#,TypeScript,Shell",3.3219,Julia,10,0.769,0.6,0.825,23,0.491,3.2,2.0176,-0.0195,9.94,0,0,0,0,931,110,0.4786,2,11
dev_7649,3774,11537.0,1971,134,513.0,408.0,181.0,"Lua,R,Rust,Julia,JavaScript,Dart,C#,Kotlin,C,Python,TypeScript,Java",3.585,Java,12,0.565,0.105,0.525,21,0.447,2.27,2.2161,0.0098,10.33,0,0,1,0,1865,90,0.343,1,9
courtney88,2722,611.0,1,8,90.0,99.0,76.0,"PHP,C++,Julia,JavaScript,Dart,C#,Haskell,Java",3.0,PHP,5,0.589,0.398,0.378,30,0.252,2.02,0.758,-0.0418,7.45,0,0,1,0,200,85,0.3416,1,14
