developer_id,account_age_days,total_commits,commits_last_90d,total_repos,pull_requests_merged,issues_closed,stars_received,languages_used,language_entropy,primary_language,framework_count,has_readme_pct,has_tests_pct,has_ci_pct,commit_message_avg_len,fork_to_original_ratio,languages_per_repo_avg,commit_trend_slope,activity_decay_lambda,years_active,has_bio,has_company,has_location,bio_length,avg_repo_size_kb,avg_repo_description_len,developer_dna_score,developer_tier,primary_language_encoded,log_total_commits,log_stars_received,log_pull_requests_merged,log_issues_closed,log_total_repos,commit_velocity,recency_score,repos_per_year,pr_merge_rate,execution_quality,language_count,impact_weight,profile_completeness,growth_momentum,consistency_index
pierceregina,1785,1323.0,267,121,117.0,113.0,627.0,"Lua,R,C++,Rust,JavaScript,C#,Go,Swift",3.0,C#,11,0.457,0.468,0.187,54,0.576,4.27,-2.0519,0.0797,4.89,0,0,1,0,917,48,0.3305,1,1,7.188412736496954,6.4425401664681985,4.770684624465665,4.736198448394496,4.804021044733257,5.1825,0.2017,20.5433,0.5065,0.3804,8,30.9501,1,-0.3484,0.9262
dev_4722,1191,3575.0,17,17,32.0,50.0,164.0,"SQL,Scala,CSS,HTML,Julia,Dart,C,Python,Haskell,JavaScript",3.3219,Scala,6,0.732,0.596,0.269,52,0.51,2.79,-1.1017,-0.119,3.26,0,0,0,0,234,76,0.3983,1,20,8.182000136293405,5.10594547390058,3.4965075614664802,3.9318256327243257,2.8903717578961645,20.9653,0.0048,3.9906,0.3855,0.5387,10,14.7581,0,-0.2586,0.8937
dev_2054,2364,4657.0,213,46,77.0,85.0,59.0,"SQL,Scala,C++,Ruby,Java,C,Haskell,TypeScript,Go,Swift",3.3219,TypeScript,11,0.703,0.444,0.463,38,0.758,3.62,2.8907,0.1617,6.47,1,1,1,112,2952,93,0.4524,2,23,8.446341450444287,4.0943445622221,4.356708826689592,4.454347296253507,3.8501476017100584,13.801,0.0457,6.158,0.4724,0.5274,10,15.7638,3,0.387,0.8608
david92,2215,319.0,9,44,11.0,15.0,32.0,"R,C++,Ruby,Kotlin,C,Python,Haskell,JavaScript",3.0,Haskell,4,0.358,0.385,0.002,29,0.437,0.97,1.2019,0.1183,6.06,1,0,0,132,411,0,0.2289,1,8,5.768320995793772,3.4965075614664802,2.4849066497880004,2.772588722239781,3.8066624897703196,1.0091,0.0281,6.2323,0.4074,0.262,8,13.31,1,0.1702,0.8942
dev_3322,1411,104.0,25,69,54.0,77.0,26.0,"Julia,Shell",1.0,Shell,9,0.539,0.225,0.604,66,0.908,1.54,5.9836,0.0579,3.86,0,1,0,0,87,31,0.3261,1,21,4.653960350157523,3.295836866004329,4.007333185232471,4.356708826689592,4.248495242049359,0.5156,0.2381,14.1975,0.4091,0.4329,2,14.0023,1,1.2312,0.9453
dev_4561,723,20.0,0,8,0.0,0.0,8.0,TypeScript,0.0,TypeScript,0,0.0,0.0,0.224,3,0.328,1.53,2.0633,0.1133,1.98,0,0,0,0,7,29,0.1547,0,23,3.044522437723423,2.1972245773362196,0.0,0.0,2.1972245773362196,0.1924,0.0,2.6846,0.0,0.0672,1,4.8278,0,0.6924,0.8982
wolfestacey,1934,1134.0,53,74,47.0,31.0,184.0,"Scala,C++,C,Kotlin,Shell",2.3219,Shell,11,0.718,0.292,0.433,111,0.515,2.89,5.4623,0.0076,5.3,1,0,0,103,325,53,0.3956,1,21,7.034387929915503,5.220355825078325,3.8712010109078907,3.4657359027997265,4.31748811353631,4.0998,0.0467,11.746,0.5949,0.4621,5,22.5388,1,0.867,0.9925
sandra7,923,163.0,11,17,232.0,70.0,257.0,"C++,Ruby,Python,Kotlin,SQL,TypeScript,Swift",2.8074,Kotlin,0,0.409,0.446,0.345,39,0.358,1.6,0.5332,0.2225,2.53,0,0,1,0,187,1,0.2682,1,12,5.099866427824199,5.552959584921617,5.4510384535657,4.2626798770413155,2.8903717578961645,1.2296,0.0671,4.8159,0.7657,0.4046,7,16.0501,1,0.151,0.818
zthompson,2002,12.0,2,16,3.0,4.0,18.0,JavaScript,0.0,JavaScript,0,0.411,0.388,0.0,56,0.01,0.7,-1.683,0.2114,5.48,0,1,0,0,34,41,0.0863,1,10,2.5649493574615367,2.9444389791664403,1.3862943611198906,1.6094379124341003,2.833213344056216,0.042,0.1538,2.4691,0.375,0.2785,1,8.3422,1,-0.2597,0.8255
ywarren,30,32.0,1,2,0.0,0.0,68.0,"TypeScript,HTML,Elixir",1.585,HTML,2,0.026,0.114,0.018,12,0.28,0.78,1.1948,0.0746,0.1,0,0,0,0,94,28,0.0807,0,7,3.4965075614664802,4.23410650459726,0.0,0.0,1.0986122886681096,5.1613,0.0303,1.8182,0.0,0.0588,3,4.6516,0,1.0862,0.9306
dev_7759,3570,925.0,8,28,139.0,82.0,1262.0,"Lua,Haskell,Go,C++,Julia,JavaScript,C,Python,SQL,TypeScript,Java",3.4594,SQL,14,0.563,0.663,0.777,90,0.489,2.64,6.7336,0.0337,9.77,1,1,1,127,463,85,0.4805,2,19,6.8308742346461795,7.141245122350491,4.941642422609304,4.418840607796598,3.367295829986474,1.8171,0.0086,2.5998,0.6261,0.6672,11,24.0467,3,0.6252,0.9674
kyle45,3533,162.0,15,218,45.0,72.0,380.0,"Lua,Swift,Go,C,Java,Elixir",2.585,Swift,11,1.0,0.464,0.937,66,0.967,3.03,3.7377,0.097,9.67,0,1,1,0,1544,54,0.4477,1,22,5.093750200806762,5.942799375126701,3.828641396489095,4.290459441148391,5.389071729816501,0.3215,0.092,20.4311,0.3814,0.7667,6,32.0262,2,0.3503,0.9116
norman69,4381,3432.0,214,32,75.0,112.0,558.0,"SQL,Swift,Lua,PHP,Rust,C++,Ruby,Dart,Haskell,Shell,JavaScript,Elixir",3.585,Shell,10,0.788,0.619,0.664,43,1.0,3.44,6.4814,-0.0605,11.99,0,1,1,0,5552,106,0.5446,2,21,8.141189793457691,6.326149473155099,4.330733340286331,4.727387818712341,3.4965075614664802,5.4958,0.0623,2.4634,0.3989,0.6832,12,22.1194,2,0.499,0.943
kayla98,3396,808.0,216,102,49.0,53.0,86.0,"Haskell,Java,CSS",1.585,Haskell,11,0.29,0.361,0.675,67,0.871,1.23,4.2206,-0.0539,9.3,0,0,1,0,112,63,0.3456,1,8,6.695798917058491,4.465908118654584,3.912023005428146,3.9889840465642745,4.634728988229636,1.6674,0.267,9.9029,0.4757,0.4339,3,20.6983,1,0.4098,0.9489
kathleen7,441,28.0,4,1,2.0,3.0,5.0,Kotlin,0.0,Kotlin,5,0.582,0.0,0.509,27,0.563,0.82,3.9594,0.1236,1.21,1,1,0,41,26,0,0.1804,0,12,3.367295829986474,1.791759469228055,1.0986122886681096,1.3862943611198906,0.6931471805599453,0.438,0.1379,0.4525,0.3333,0.3273,1,1.242,2,1.7916,0.89
robert58,2669,58.0,2,5,74.0,81.0,39.0,"Scala,R,Python,Kotlin,Go",2.3219,Scala,2,0.225,0.468,0.301,4,0.174,1.11,2.9276,0.2793,7.31,1,0,1,17,50,10,0.2086,0,20,4.07753744390572,3.6888794541139363,4.31748811353631,4.406719247264253,1.791759469228055,0.1522,0.0339,0.6017,0.4744,0.345,5,6.6096,2,0.3523,0.7817
dev_1577,4069,10888.0,2761,19,76.0,66.0,7303.400000000031,"Scala,R,C++,Ruby,C#,Python,C,Kotlin,SQL,TypeScript,Go",3.4594,C++,12,1.0,0.593,0.59,72,0.671,2.1,3.4353,-0.0735,11.14,1,1,1,122,9937,58,0.4822,2,2,9.29550838434606,8.896232185287884,4.343805421853684,4.204692619390966,2.995732273553991,18.7634,0.2536,1.5651,0.5315,0.7142,11,26.6507,3,0.283,0.9315
hensleytina,962,451.0,30,6,3.0,3.0,143.0,"R,Java,Kotlin,JavaScript,Swift",2.3219,Java,8,0.665,0.734,0.466,66,0.481,2.97,5.7049,0.049,2.63,0,0,1,0,237,7,0.3626,1,9,6.113682179832232,4.969813299576001,1.3862943611198906,1.3862943611198906,1.9459101490553132,3.2738,0.0664,1.6529,0.4286,0.6329,5,9.6708,1,1.5716,0.9533
emily28,748,688.0,118,146,61.0,27.0,8.0,"Ruby,PHP",1.0,PHP,6,0.948,0.726,0.0,29,0.27,2.04,-3.2227,0.018,2.05,0,1,0,0,72,29,0.2619,1,14,6.535241271013659,2.1972245773362196,4.127134385045092,3.332204510175204,4.990432586778736,6.3941,0.1713,47.8689,0.6854,0.5748,2,10.9651,1,-1.0566,0.9823
dev_9530,30,949.0,129,51,2.0,3.0,232.0,"Julia,Lua,Shell,PHP",2.0,PHP,4,0.653,0.0,0.314,27,0.329,1.8,-3.1631,0.1385,0.1,1,0,1,30,67,105,0.2113,1,14,6.856461984594587,5.4510384535657,1.0986122886681096,1.3862943611198906,3.9512437185814275,153.0645,0.1358,46.3636,0.3333,0.2901,4,21.5384,2,-2.8755,0.8783
dev_8208,474,19.0,0,10,12.0,9.0,8.0,"Scala,Lua,Ruby,Julia,Kotlin",2.3219,Scala,0,0.286,0.031,0.336,4,0.26,1.48,4.2127,0.0885,1.3,1,0,0,59,15,36,0.2148,0,20,2.995732273553991,2.1972245773362196,2.5649493574615367,2.302585092994046,2.3978952727983707,0.277,0.0,4.3478,0.5455,0.199,5,5.2687,1,1.8316,0.9187
danielrussell,786,42.0,4,13,2.0,1.0,1829.0,Elixir,0.0,Elixir,2,0.127,0.044,0.081,3,0.306,1.56,-1.6324,-0.0794,2.15,0,0,0,0,551,27,0.1354,0,5,3.7612001156935624,7.512071245835466,1.0986122886681096,0.6931471805599453,2.639057329615259,0.3723,0.093,4.127,0.5,0.08,1,19.8248,0,-0.5182,0.9264
william31,2383,474.0,25,513,44.0,72.0,1783.0,"CSS,Rust,Julia,Dart,Python,TypeScript,Shell,Go,Elixir",3.1699,Julia,15,0.702,0.577,0.549,34,0.822,3.26,3.5542,0.101,6.52,0,1,1,0,7811,99,0.4665,2,11,6.163314804034641,7.486613313139955,3.8066624897703196,4.290459441148391,6.2422232654551655,1.394,0.0526,68.2181,0.3761,0.6061,9,46.7331,2,0.4726,0.9083
ronald37,1549,62.0,12,19,0.0,0.0,37.0,"Julia,Haskell,HTML,C++",2.0,C++,1,0.445,0.0,0.0,3,0.221,0.5,4.1539,0.1404,4.24,1,0,1,113,42,128,0.2541,0,2,4.143134726391533,3.6375861597263857,0.0,0.0,2.995732273553991,0.2799,0.1905,3.626,0.0,0.1335,4,10.8972,2,0.7927,0.8769
mwalton,2851,2544.0,641,13,75.0,77.0,5.0,"CSS,PHP,C++,C,Kotlin,Go",2.585,CSS,6,0.528,0.237,0.502,57,0.441,3.09,0.7702,0.0128,7.81,0,0,0,0,73,19,0.3696,1,3,7.841885928984623,1.791759469228055,4.330733340286331,4.356708826689592,2.639057329615259,6.2488,0.2519,1.4756,0.4902,0.4038,6,4.7286,0,0.0874,0.9874
alex84,695,60.0,1,95,2.0,1.0,51.0,R,0.0,R,4,0.168,0.0,0.0,16,0.443,0.51,0.0483,0.1517,1.9,0,0,0,0,67,20,0.1069,0,16,4.110873864173311,3.9512437185814275,1.0986122886681096,0.6931471805599453,4.564348191467836,0.6012,0.0164,32.7586,0.5,0.0504,1,18.0349,0,0.0167,0.8683
wheelerjustin,30,7.0,0,4,0.0,0.0,54.0,"Dart,Rust,C++",1.585,C++,2,0.191,0.315,0.0,48,0.048,0.5,-6.3839,0.0866,0.1,1,0,0,26,58,11,0.0872,0,2,2.0794415416798357,4.007333185232471,0.0,0.0,1.6094379124341003,1.129,0.0,3.6364,0.0,0.1833,3,6.4496,1,-5.8035,0.9203
dev_2546,785,15.0,4,1,1.0,0.0,21.0,"Ruby,CSS,C",1.585,C,0,0.3,0.221,0.0,52,0.158,1.69,-4.5988,0.1646,2.15,0,0,0,0,29,59,0.1492,0,0,2.772588722239781,3.091042453358316,0.6931471805599453,0.0,0.6931471805599453,0.133,0.25,0.3175,0.5,0.1784,3,2.1425,0,-1.4599,0.8587
pierceannette,3627,4865.0,1181,608,997.0,623.0,864.0,"CSS,C++,Ruby,C,Java,Elixir,HTML,TypeScript,Lua,R,Dart,Python,SQL,Haskell,JavaScript,Rust,C#,Go,Swift",4.2479,Python,14,1.0,0.668,0.968,90,0.66,4.02,8.5593,-0.0799,9.93,1,1,0,72,923,89,0.6343,2,15,8.490027523343468,6.762729506931879,6.905753276311464,6.436150368369428,6.411818267709897,9.4035,0.2427,55.6267,0.6151,0.8576,19,43.3614,2,0.7831,0.926
dev_653,1234,253.0,8,4,67.0,70.0,9.0,"Scala,HTML,C++,Elixir",2.0,Scala,9,0.555,0.09,0.118,45,0.62,2.19,0.073,0.1414,3.38,0,0,1,0,882,54,0.2176,1,20,5.537334267018537,2.302585092994046,4.219507705176107,4.2626798770413155,1.6094379124341003,1.4313,0.0315,0.9132,0.4855,0.2379,4,3.7059,1,0.0167,0.8761
gjackson,3728,991.0,91,78,18.0,11.0,131.0,"Ruby,HTML,Kotlin",1.585,Kotlin,11,1.0,0.611,0.766,63,0.601,2.54,0.4562,-0.0037,10.21,1,0,1,23,106,89,0.3321,2,12,6.899723107284872,4.882801922586371,2.9444389791664403,2.4849066497880004,4.3694478524670215,1.8631,0.0917,6.9581,0.6,0.7742,3,21.3351,2,0.0407,0.9963
vfarley,2445,2465.0,390,20,20.0,22.0,48.0,"CSS,PHP,C++,Ruby,Dart,C,Haskell,TypeScript",3.0,PHP,3,0.532,0.0,0.343,69,0.206,2.06,-4.6239,0.0182,6.69,0,1,1,0,132,0,0.2244,1,14,7.81035268372429,3.8918202981106265,3.044522437723423,3.1354942159291497,3.044522437723423,7.0655,0.1582,2.6008,0.4651,0.2625,8,11.8487,2,-0.6013,0.9821
bryan19,2965,1294.0,42,69,668.0,2.0,652.0,"CSS,Lua,R,HTML,Rust,PHP,Dart,C#,Python,Kotlin,C,TypeScript,Shell,Go,Elixir",3.9069,Rust,10,1.0,0.524,0.533,74,1.0,3.26,7.8872,-0.043,8.12,0,0,1,0,1836,127,0.5361,2,18,7.166265974133638,6.481577129276431,6.505784060128229,1.0986122886681096,4.248495242049359,3.0574,0.0324,7.5658,0.9955,0.6695,15,27.5369,1,0.8648,0.9588
mgreene,3276,523.0,132,11,335.0,450.0,850.0,"CSS,Scala,R,PHP,HTML,Ruby,Dart,C#,Kotlin,TypeScript",3.3219,C#,8,1.0,1.0,0.558,86,1.0,3.25,5.0756,-0.0829,8.97,1,1,1,36,1445,85,0.4949,2,1,6.261491684321042,6.7464121285733745,5.817111159963204,6.111467339502679,2.4849066497880004,1.1189,0.2519,1.1033,0.4262,0.8674,10,16.7642,3,0.5091,0.9234
paul77,3355,1841.0,78,173,35.0,65.0,1082.0,"CSS,Lua,Swift,Rust,Ruby,Julia,Dart,SQL,TypeScript,Shell,Elixir",3.4594,Dart,6,0.605,0.396,0.401,88,0.637,2.45,1.724,-0.1155,9.19,1,1,0,90,1033,83,0.3471,1,4,7.518607216815252,6.9874902470009905,3.58351893845611,4.189654742026425,5.159055299214529,3.8444,0.0423,16.9774,0.3465,0.4602,11,36.0488,2,0.1692,0.8965
dev_9079,3376,2151.0,308,19,260.0,158.0,56.0,"Scala,C++,Ruby,Julia,Dart,C#,Haskell,Elixir",3.0,Elixir,10,0.468,0.373,0.168,54,0.778,3.16,-1.6741,-0.04,9.24,1,1,0,35,394,57,0.3816,1,5,7.674152921281675,4.04305126783455,5.564520407322694,5.0689042022202315,2.995732273553991,4.4675,0.1431,1.8555,0.6205,0.34,8,12.1119,2,-0.1635,0.9615
carl62,1561,1996.0,216,51,26.0,13.0,633.0,"CSS,PHP,Haskell,Go,Ruby,SQL,TypeScript,Java,Elixir",3.1699,CSS,7,1.0,0.643,0.234,4,0.572,3.33,4.2972,0.1516,4.27,1,1,1,121,271,60,0.4375,1,3,7.599401333415815,6.452048954437226,3.295836866004329,2.639057329615259,3.9512437185814275,8.9491,0.1082,9.6774,0.65,0.6274,9,25.4936,3,0.8154,0.8684
dev_8723,2313,304.0,70,40,22.0,5.0,46.0,"CSS,Lua,HTML,PHP,C#,C,SQL,Elixir",3.0,C#,5,0.512,0.336,0.144,35,0.394,1.63,-1.8277,0.0352,6.33,1,0,0,26,34,93,0.289,1,1,5.720311776607412,3.8501476017100584,3.1354942159291497,1.791759469228055,3.713572066704308,0.9208,0.2295,5.457,0.7857,0.3312,8,14.2978,1,-0.2493,0.966
mark9,30,2.0,0,8,1.0,0.0,20.0,C++,0.0,C++,4,0.15,0.0,0.145,3,0.313,0.96,0.5228,0.1699,0.1,1,0,0,94,16,0,0.0889,0,2,1.0986122886681096,3.044522437723423,0.6931471805599453,0.0,2.1972245773362196,0.3226,0.0,7.2727,0.5,0.0885,1,6.6895,1,0.4753,0.8548
peggy96,2672,554.0,190,19,29.0,37.0,81.0,"Julia,Scala,JavaScript",1.585,JavaScript,6,0.736,0.465,0.335,47,0.432,2.78,5.666,-0.0634,7.32,1,0,0,104,307,73,0.3011,1,10,6.318968113746434,4.406719247264253,3.4011973816621555,3.6375861597263857,2.995732273553991,1.4516,0.3423,2.2837,0.4328,0.5073,3,13.2014,1,0.681,0.9404
dev_7387,2601,864.0,96,15,111.0,98.0,111.0,"CSS,Lua,HTML,PHP,Rust,Scala,R,Ruby,Python,Kotlin",3.3219,Lua,11,0.636,0.797,0.665,85,0.634,2.59,3.1285,0.0525,7.12,1,0,1,71,7906,27,0.4562,2,13,6.762729506931879,4.718498871295094,4.718498871295094,4.59511985013459,2.772588722239781,2.3273,0.111,1.8473,0.5286,0.7091,10,13.0825,2,0.3853,0.9501
john42,516,103.0,29,20,0.0,0.0,46.0,"JavaScript,SQL,Java,Kotlin",2.0,Kotlin,0,0.521,0.16,0.322,7,0.049,1.26,-1.3194,0.1044,1.41,1,0,0,43,6,0,0.1639,1,12,4.6443908991413725,3.8501476017100584,0.0,0.0,3.044522437723423,1.3859,0.2788,8.2988,0.0,0.3169,4,11.7219,1,-0.5475,0.9055
sheri64,2851,1051.0,103,4,116.0,168.0,395.0,"CSS,Shell,PHP,Dart",2.0,PHP,6,0.453,0.172,0.44,81,0.418,3.17,-0.8043,-0.1146,7.81,1,1,1,112,1145,94,0.2734,1,14,6.9584483932976555,5.981414211254481,4.762173934797756,5.1298987149230735,1.6094379124341003,2.5815,0.0979,0.454,0.407,0.3367,4,9.6267,3,-0.0913,0.8972
tharper,3846,949.0,43,182,432.0,233.0,641.0,"HTML,R,Ruby,Python,C,JavaScript",2.585,C,7,0.769,0.629,0.295,89,0.223,2.79,4.2385,-0.2027,10.53,1,1,1,43,754,75,0.3335,2,0,6.856461984594587,6.464588303689961,6.07073772800249,5.455321115357702,5.209486152841421,1.73,0.0453,15.7849,0.6486,0.5708,6,33.6772,3,0.3676,0.8315
kristi1,1273,127.0,19,10,10.0,9.0,3.0,"Scala,Rust,Kotlin,Swift",2.0,Scala,2,0.477,0.386,0.352,57,0.918,1.05,-0.5089,0.1482,3.49,1,1,0,76,86,74,0.2153,2,20,4.852030263919617,1.3862943611198906,2.3978952727983707,2.302585092994046,2.3978952727983707,0.696,0.1484,2.2272,0.5,0.4031,4,3.3242,2,-0.1133,0.8709
katie6,888,96.0,19,5,3.0,0.0,54.0,C#,0.0,C#,4,0.096,0.678,0.531,62,0.86,1.14,-2.9646,0.3008,2.43,1,0,0,69,30,10,0.2148,0,1,4.574710978503383,4.007333185232471,1.3862943611198906,0.0,1.791759469228055,0.7538,0.1959,1.4577,0.75,0.4593,1,7.1802,1,-0.8643,0.7688
esimmons,2205,377.0,26,11,881.0,596.0,76.0,"Scala,R,Rust,C++,Ruby,JavaScript,Java,C#,Python,Shell,Go",3.4594,R,1,1.0,0.419,0.267,22,0.248,2.02,2.9257,0.0794,6.04,0,0,1,0,1248,130,0.4114,1,16,5.934894195619588,4.343805421853684,6.782192056006791,6.391917113392602,2.4849066497880004,1.1965,0.0688,1.5625,0.5961,0.5477,11,10.794,1,0.4156,0.9264
dev_8042,656,73.0,6,66,32.0,4.0,178.0,"CSS,Lua,PHP,Rust,Julia,C#,Python,SQL,TypeScript,Go",3.3219,Julia,4,0.284,0.361,0.491,37,0.745,2.3,4.8061,-0.021,1.8,0,0,1,0,37,57,0.3166,1,11,4.304065093204169,5.187385805840755,3.4965075614664802,1.6094379124341003,4.204692619390966,0.7717,0.0811,23.5714,0.8649,0.3769,10,21.8114,1,1.7165,0.9794
joseph65,1529,863.0,93,20,147.0,166.0,182.0,"CSS,PHP,Rust,C++,Dart,SQL,Shell,Elixir",3.0,SQL,6,1.0,0.585,0.478,95,0.702,4.61,-0.6755,-0.0776,4.19,1,1,1,86,670,54,0.4381,2,19,6.761572768804055,5.209486152841421,4.997212273764115,5.117993812416755,3.044522437723423,3.9428,0.1076,3.8536,0.4682,0.6774,8,15.8604,3,-0.1302,0.928
ryanmorris,3263,1266.0,304,6,24.0,2.0,20.0,"Julia,Scala,HTML,Swift",2.0,Swift,5,0.545,0.105,0.245,20,0.263,2.89,-2.9455,0.0532,8.93,1,0,0,137,299,44,0.2542,1,22,7.144407180321139,3.044522437723423,3.2188758248682006,1.0986122886681096,1.9459101490553132,2.7205,0.2399,0.6042,0.8889,0.279,4,5.9244,1,-0.2966,0.9495
brian20,1751,238.0,31,26,4.0,3.0,347.0,"CSS,Scala,Swift,PHP,C++,Julia,Python,SQL,TypeScript,JavaScript,Elixir",3.4594,Elixir,4,0.158,0.546,0.522,20,0.483,2.19,5.0773,-0.0316,4.79,0,1,0,0,61,111,0.4047,0,5,5.476463551931511,5.8522024797744745,1.6094379124341003,1.3862943611198906,3.295836866004329,0.9517,0.1297,4.4905,0.5,0.4224,11,19.2879,1,0.8769,0.9694
jamesharris,1080,130.0,34,3,29.0,33.0,28.0,"CSS,HTML,PHP,C++,Rust,Haskell",2.585,HTML,7,0.507,0.488,0.047,42,0.51,2.83,1.255,0.0531,2.96,0,0,0,0,8,56,0.3023,1,7,4.875197323201151,3.367295829986474,3.4011973816621555,3.5263605246161616,1.3862943611198906,0.8391,0.2595,0.7576,0.4603,0.3614,6,4.6681,0,0.3169,0.9496
wendy15,91,7.0,0,11,1.0,1.0,20.0,Julia,0.0,Julia,0,0.085,0.179,0.127,46,0.264,0.81,1.4821,0.0514,0.25,0,0,1,0,5,40,0.1214,0,11,2.0794415416798357,3.044522437723423,0.6931471805599453,0.6931471805599453,2.4849066497880004,0.5,0.0,8.8,0.3333,0.1352,1,7.5654,1,1.1857,0.9511
debra16,1215,595.0,87,27,20.0,12.0,353.0,"CSS,Lua,R,PHP,Ruby,Julia,Dart,C#,Python,C,TypeScript,Go",3.585,TypeScript,11,0.467,0.268,0.604,67,0.871,2.41,4.6024,0.0539,3.33,0,0,1,0,1440,76,0.4257,1,23,6.39024066706535,5.869296913133774,3.044522437723423,2.5649493574615367,3.332204510175204,3.4164,0.146,6.2356,0.6061,0.4285,12,19.5577,1,1.0629,0.9489
robert25,4927,5812.0,154,130,37.0,5.0,83.0,"Scala,CSS,R,PHP,Rust,HTML,C++,Julia,C#,C,Python,Kotlin,TypeScript,Elixir",3.8074,C,7,0.697,0.976,0.413,70,0.907,3.19,5.6301,-0.0641,13.49,1,0,1,35,1022,100,0.5345,2,0,8.66785206770135,4.430816798843313,3.6375861597263857,1.791759469228055,4.875197323201151,8.2735,0.0265,8.9717,0.8605,0.7234,14,21.6011,2,0.3886,0.9398
timothy73,757,58.0,2,14,106.0,115.0,45.0,"Scala,Lua,CSS,C#,C,Kotlin,Elixir,TypeScript,Swift",3.1699,Kotlin,15,1.0,0.672,0.625,57,0.677,2.72,4.3817,-0.1974,2.07,1,0,1,107,2485,85,0.5179,2,12,4.07753744390572,3.828641396489095,4.672828834461906,4.7535901911063645,2.70805020110221,0.5339,0.0339,4.5603,0.4775,0.7563,9,10.3682,2,1.4273,0.8351
quinnbrian,126,69.0,7,5,36.0,53.0,50.0,"CSS,Lua,Scala,Python,SQL",2.3219,Lua,3,0.088,0.417,0.618,33,0.341,1.03,-1.1079,0.0103,0.34,0,0,0,0,85,0,0.2456,0,13,4.248495242049359,3.9318256327243257,3.6109179126442243,3.9889840465642745,1.791759469228055,3.6938,0.1,3.7313,0.4,0.3786,5,7.0449,0,-0.8268,0.9898
dev_8982,2589,4250.0,1006,107,239.0,341.0,2002.0,"Lua,HTML,C++,JavaScript,C,Python,Shell,Go",3.0,HTML,13,0.979,0.911,0.904,50,0.638,2.99,1.2522,0.0416,7.09,1,0,0,79,4926,60,0.4354,2,7,8.35490952835879,7.602401335665818,5.480638923341991,5.834810737062605,4.68213122712422,11.4964,0.2367,13.2262,0.4114,0.9293,8,35.5954,1,0.1548,0.9601
hannah41,1266,255.0,5,14,2.0,2.0,50.0,"Lua,R,Rust,Dart,SQL,Shell,JavaScript",2.8074,R,8,0.772,0.24,0.162,52,0.668,1.84,5.1488,0.0231,3.47,0,0,1,0,430,56,0.3553,1,16,5.545177444479562,3.9318256327243257,1.0986122886681096,1.0986122886681096,2.70805020110221,1.4054,0.0195,3.132,0.4,0.3762,7,10.6476,1,1.1519,0.9774
dev_3542,30,226.0,45,15,15.0,24.0,241.0,HTML,0.0,HTML,0,0.054,0.0,0.072,3,0.01,0.5,-2.6672,0.2911,0.1,1,0,0,20,5,0,0.0181,0,7,5.424950017481403,5.488937726156687,2.772588722239781,3.2188758248682006,2.772588722239781,36.4516,0.1982,13.6364,0.375,0.0378,1,15.2186,1,-2.4247,0.7745
dev_6499,1904,602.0,44,6,4.0,0.0,2.0,TypeScript,0.0,TypeScript,13,0.461,0.662,0.275,33,0.542,2.47,-2.7214,0.0228,5.21,1,1,0,87,734,74,0.1775,1,23,6.401917196727186,1.0986122886681096,1.6094379124341003,0.0,1.9459101490553132,2.2139,0.073,0.9662,0.8,0.4856,1,2.1378,2,-0.4382,0.9777
flowerscourtney,30,182.0,22,3,50.0,38.0,7.0,"CSS,HTML,C#",1.585,CSS,1,0.268,0.51,0.123,3,0.103,2.2,0.7335,0.0361,0.1,0,0,0,0,59,0,0.144,0,3,5.209486152841421,2.0794415416798357,3.9318256327243257,3.6635616461296463,1.3862943611198906,29.3548,0.1202,2.7273,0.5618,0.3213,3,2.8827,0,0.6668,0.9652
dev_1734,2719,3111.0,481,28,42.0,44.0,2244.0,"Scala,Lua,R,PHP,C++,Haskell,Java,Kotlin,C,SQL,TypeScript,Shell,Go",3.7004,Kotlin,11,0.86,0.917,0.429,72,0.724,3.01,2.3633,-0.1464,7.44,0,0,1,0,236,57,0.4885,1,12,8.043020885298283,7.716460800176355,3.7612001156935624,3.8066624897703196,3.367295829986474,8.0205,0.1546,3.3175,0.4828,0.7535,13,25.9836,1,0.28,0.8723
yvettemills,721,168.0,24,45,1.0,1.0,19.0,SQL,0.0,SQL,2,0.481,0.0,0.0,7,0.15,2.01,-3.8924,0.123,1.97,0,0,0,0,17,66,0.0751,0,19,5.1298987149230735,2.995732273553991,0.6931471805599453,0.6931471805599453,3.828641396489095,1.6241,0.142,15.1515,0.3333,0.1443,1,11.4696,0,-1.3106,0.8905
peterdoyle,2935,85.0,10,9,20.0,13.0,24.0,"Scala,HTML,C++,Python,Elixir",2.3219,C++,5,0.521,0.352,0.422,37,0.415,2.73,3.7239,0.0311,8.04,1,0,0,40,177,45,0.311,0,2,4.454347296253507,3.2188758248682006,3.044522437723423,2.639057329615259,2.302585092994046,0.2028,0.1163,0.9956,0.5882,0.4237,5,7.4117,1,0.4119,0.9698
william85,272,534.0,89,3,5.0,9.0,39.0,"SQL,Lua,C++,C",2.0,C++,5,0.739,0.0,0.571,24,0.605,1.48,6.2873,0.0703,0.74,1,0,1,140,586,74,0.2975,1,2,6.282266746896006,3.6888794541139363,1.791759469228055,2.302585092994046,1.3862943611198906,13.5258,0.1664,1.7241,0.3333,0.393,4,5.1139,2,3.6134,0.9343
